ID,test_type,basin_valley,Depth (m),qc (MPa),fs (kPa),u2 (kPa),Vs (m/s),qt (MPa),Rf (%),γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',v (kPa)",Qt (-),Qtn (-),Fr (%),Bq (-),U2 (-),SBT (-),SBTn (-),Mod. SBTn (-),n,Ic (-),Ic SBT (-),Ib (-)
0,CPT,Zell basin,0.02,1.15,1,0,0,1.77,0.06,19,0.38,0.2,0.18,9609.83,8.04,0.06,0,0,0,0,0,-0.12,2.56,2.23,25.61
0,CPT,Zell basin,0.04,2.85,1,0,0,2.99,0.03,19,0.76,0.39,0.37,8140.84,185.53,0.03,0,0,0,0,0,0.33,1.23,2.02,256.6
0,CPT,Zell basin,0.06,4.8,1,0,0,4.76,0.06,19,1.14,0.59,0.55,8627.48,205.79,0.06,0,0,0,0,0,0.28,1.16,1.8,264.66
0,CPT,Zell basin,0.08,6.4,6,0,0,6.12,0.07,19,1.52,0.78,0.74,8326.73,226.79,0.07,0,0,0,0,0,0.27,1.12,1.69,275.17
0,CPT,Zell basin,0.1,6.9,6,0,0,6.91,0.1,19,1.9,0.98,0.92,7511.53,239.52,0.1,0,0,0,0,0,0.27,1.11,1.65,267.92
0,CPT,Zell basin,0.12,7.1,8,0,0,7.45,0.11,19,2.28,1.18,1.1,6756.49,254.22,0.11,0,0,6,7,7,0.27,1.09,1.62,271.56
0,CPT,Zell basin,0.14,8,10,0,0,7.75,0.14,19,2.66,1.37,1.29,6022.86,261.78,0.14,0,0,6,7,7,0.28,1.12,1.63,253.62
0,CPT,Zell basin,0.16,7.75,15,0,0,8.87,0.15,19,3.04,1.57,1.47,6028.04,273.15,0.15,0,0,6,7,7,0.27,1.11,1.58,252.55
0,CPT,Zell basin,0.18,10.4,16,0,0,9.88,0.13,19,3.42,1.77,1.65,5971.62,280.09,0.13,0,0,6,7,7,0.26,1.08,1.52,271.47
0,CPT,Zell basin,0.2,11,8,0,0,11.26,0.09,19,3.8,1.96,1.84,6125.97,287.22,0.09,0,0,0,0,0,0.24,1.03,1.44,308.45
0,CPT,Zell basin,0.22,11.85,7,0,0,12.01,0.16,19,4.18,2.16,2.02,5939.01,313.49,0.16,0,0,6,7,7,0.25,1.06,1.46,272.45
0,CPT,Zell basin,0.24,12.6,41,0,0,13.29,0.23,19,4.56,2.35,2.21,6025.02,363.82,0.23,0,0,6,7,7,0.27,1.08,1.47,241.38
0,CPT,Zell basin,0.26,14.8,45,0,0,14.39,0.3,19,4.94,2.55,2.39,6021.06,395.9,0.3,0,0,6,7,7,0.27,1.12,1.49,215.53
0,CPT,Zell basin,0.28,15.1,43,0,0,14.97,0.28,19,5.32,2.75,2.57,5816.89,393.97,0.28,0,0,6,7,7,0.27,1.1,1.46,224.84
0,CPT,Zell basin,0.3,14.3,37,0,0,14.49,0.27,19,5.7,2.94,2.76,5253.04,379.02,0.27,0,0,6,7,7,0.27,1.11,1.47,223.82
0,CPT,Zell basin,0.32,13.3,39,0,0,13.34,0.4,19,6.08,3.14,2.94,4532.98,395.69,0.4,0,0,6,7,7,0.31,1.2,1.58,177.69
0,CPT,Zell basin,0.34,11.6,84,0,0,12.65,0.53,19,6.46,3.34,3.12,4046.98,407.61,0.53,0,0,6,7,7,0.34,1.28,1.67,145.49
0,CPT,Zell basin,0.36,12.2,79,0,0,12.32,0.62,19,6.84,3.53,3.31,3720.78,409.21,0.62,0,0,6,7,7,0.35,1.33,1.72,129.04
0,CPT,Zell basin,0.38,12.25,67,0,0,12.42,0.53,19,7.22,3.73,3.49,3553,390.54,0.53,0,0,6,7,7,0.34,1.29,1.67,144.76
0,CPT,Zell basin,0.4,11.85,51,0,0,12.33,0.41,19,7.6,3.92,3.68,3352.12,358.63,0.41,0,0,6,7,7,0.33,1.24,1.62,169.52
0,CPT,Zell basin,0.42,11.9,34,0,0,11.83,0.31,19,7.98,4.12,3.86,3062.43,322.42,0.31,0,0,6,7,7,0.31,1.19,1.57,196.58
0,CPT,Zell basin,0.44,10.7,24,0,0,11.08,0.28,19,8.36,4.32,4.04,2737.24,293.93,0.28,0,0,6,7,7,0.31,1.2,1.58,200.7
0,CPT,Zell basin,0.46,9.55,34,0,0,10.13,0.45,19,8.74,4.51,4.23,2393.02,307.84,0.45,0,0,6,7,7,0.35,1.31,1.71,152.84
0,CPT,Zell basin,0.48,9,78,0,0,9.24,0.68,19,9.12,4.71,4.41,2092.6,314.22,0.68,0,0,6,6,7,0.4,1.43,1.84,114.44
0,CPT,Zell basin,0.5,8,76,0,0,8.06,1.03,19,9.5,4.91,4.6,1750.92,317.16,1.03,0,0,6,6,7,0.45,1.57,1.99,82.64
0,CPT,Zell basin,0.52,5.95,94,0,0,6.9,1.23,19,9.88,5.1,4.78,1442.51,294.25,1.23,0,0,5,6,7,0.48,1.65,2.1,70.29
0,CPT,Zell basin,0.54,5.5,85,0,0,5.82,1.56,19,10.26,5.3,4.96,1170.37,274.04,1.57,0,0,5,6,7,0.52,1.75,2.22,56.88
0,CPT,Zell basin,0.56,4.7,94,0,0,5.02,1.99,19,10.64,5.49,5.15,972.72,259.48,1.99,0,0,5,6,7,0.56,1.85,2.34,45.94
0,CPT,Zell basin,0.58,3.5,120,0,0,4.22,2.62,19,11.02,5.69,5.33,788.71,244.92,2.62,0,0,4,8,7,0.6,1.96,2.47,35.76
0,CPT,Zell basin,0.6,3.05,117,0,0,3.51,2.92,19,11.4,5.89,5.51,635.1,216.08,2.93,0,0,4,8,7,0.63,2.03,2.56,32.14
0,CPT,Zell basin,0.62,2.55,71,0,0,3.16,2.8,19,11.78,6.08,5.7,552.83,193.3,2.81,0,0,4,8,7,0.63,2.05,2.59,33.1
0,CPT,Zell basin,0.64,2.4,78,0,0,2.91,2.61,19,12.16,6.28,5.88,492.7,174.68,2.62,0,0,4,5,7,0.64,2.05,2.59,34.97
0,CPT,Zell basin,0.66,2.25,79,0,0,2.83,2.9,19,12.54,6.47,6.07,463.69,173.24,2.92,0,0,4,5,5,0.65,2.09,2.63,31.86
0,CPT,Zell basin,0.68,2.25,89,0,0,2.79,3.06,19,12.92,6.67,6.25,444.39,171.5,3.07,0,0,4,8,5,0.66,2.11,2.65,30.4
0,CPT,Zell basin,0.7,2.25,88,0,0,2.77,3.11,19,13.3,6.87,6.43,428.78,168.94,3.13,0,0,4,8,5,0.66,2.12,2.66,29.89
0,CPT,Zell basin,0.72,2.15,82,0,0,2.7,3.19,19,13.68,7.06,6.62,406.49,164.37,3.21,0,0,4,8,5,0.67,2.13,2.67,29.18
0,CPT,Zell basin,0.74,2,89,0,0,2.62,3.25,19,14.06,7.26,6.8,382.95,158.69,3.26,0,0,4,8,5,0.67,2.15,2.69,28.69
0,CPT,Zell basin,0.76,1.95,84,0,0,2.53,3.38,19,14.44,7.46,6.98,360.65,154.14,3.4,0,0,4,8,5,0.68,2.17,2.71,27.62
0,CPT,Zell basin,0.78,1.85,84,0,0,2.47,3.34,19,14.82,7.65,7.17,341.81,148.22,3.36,0,0,4,8,5,0.68,2.18,2.72,27.85
0,CPT,Zell basin,0.8,1.75,79,0,0,2.36,3.34,19,15.2,7.85,7.35,319.39,141.41,3.36,0,0,4,8,5,0.69,2.19,2.73,27.74
0,CPT,Zell basin,0.82,1.6,74,0,0,2.26,3.27,19,15.58,8.04,7.54,298.06,133.96,3.29,0,0,4,5,5,0.69,2.2,2.74,28.15
0,CPT,Zell basin,0.84,1.5,69,0,0,2.16,3.27,19,15.96,8.24,7.72,277.74,127.45,3.3,0,0,4,5,5,0.7,2.21,2.76,28.05
0,CPT,Zell basin,0.86,1.4,69,0,0,2.11,3.26,19,16.34,8.44,7.9,264.7,123.25,3.28,0,0,4,5,5,0.7,2.22,2.76,28.08
0,CPT,Zell basin,0.88,1.4,68,0,0,2.07,3.26,19,16.72,8.63,8.09,254.3,120.14,3.29,0,0,4,5,5,0.7,2.23,2.77,27.97
0,CPT,Zell basin,0.9,1.35,66,0,0,2.09,3.16,19,17.1,8.83,8.27,250.42,118.36,3.19,0,0,4,5,5,0.7,2.22,2.76,28.71
0,CPT,Zell basin,0.92,1.4,64,0,0,2.09,3.08,19,17.48,9.03,8.45,244.74,116.13,3.11,0,0,4,5,5,0.7,2.22,2.75,29.26
0,CPT,Zell basin,0.94,1.35,63,0,0,2.1,3.03,19,17.86,9.22,8.64,241.22,114.9,3.06,0,0,4,5,5,0.7,2.21,2.74,29.66
0,CPT,Zell basin,0.96,1.35,64,0,0,2.08,3.04,19,18.24,9.42,8.82,234.07,112.87,3.07,0,0,4,5,5,0.7,2.22,2.75,29.53
0,CPT,Zell basin,0.98,1.3,63,0,0,2.08,3.01,19,18.62,9.61,9.01,229.07,111.24,3.04,0,0,4,5,5,0.7,2.22,2.75,29.72
0,CPT,Zell basin,1,1.3,61,0,0,2.06,2.96,19,19,9.81,9.19,222.45,108.74,2.98,0,0,4,5,5,0.7,2.22,2.74,30.1
0,CPT,Zell basin,1.02,1.25,59,0,0,2.08,2.45,19,19.38,10.01,9.37,219.65,103.59,2.48,0,0,4,5,7,0.68,2.17,2.69,34.78
0,CPT,Zell basin,1.04,1.3,33,0,0,2.09,2.02,19,19.76,10.2,9.56,216.96,98.77,2.04,0,0,4,5,7,0.67,2.13,2.64,40.04
0,CPT,Zell basin,1.06,1.3,35,0,0,2.09,1.66,19,20.14,10.4,9.74,212.65,93.71,1.67,0,0,4,5,7,0.65,2.08,2.59,45.72
0,CPT,Zell basin,1.08,1.2,36,0,0,2.07,1.75,19,20.52,10.59,9.93,206.83,93.23,1.77,0,0,4,5,7,0.66,2.1,2.61,43.93
